mac_fill,flood_pressure,avg_age
0.15,2.36,264.0
0.15,2.362,267.0
0.15,2.369,270.0
0.15,2.371,273.0
0.15,2.375,276.0
0.15,2.377,279.0
0.15,2.381,282.0
0.2,2.385,214.0
0.2,2.389,217.0
0.1,2.391,138.0
0.1,2.395,141.0
0.1,2.4,144.0
0.1,2.404,147.0
0.1,2.406,150.0
0.1,2.41,153.0
0.1,2.412,156.0
0.1,2.416,159.0
0.1,2.418,162.0
0.1,2.422,165.0
0.1,2.424,168.0
0.05,2.426,40.0
0.05,2.433,43.0
0.05,2.435,46.0
0.05,2.439,49.0
0.05,2.441,52.0
0.05,2.445,55.0
0.05,2.447,58.0
0.05,2.451,61.0
0.05,2.453,64.0
0.05,2.459,68.0
0.05,2.461,71.0
0.05,2.468,74.0
0.05,2.472,77.0
0.05,2.474,80.0
0.05,2.478,83.0
0.05,2.48,86.0
0.05,2.484,89.0
0.05,2.486,92.0
0.05,2.49,95.0
0.05,2.492,98.0
0.1,2.498,51.5
0.1,2.503,54.5
0.1,2.507,57.5
0.1,2.509,60.5
0.1,2.513,63.5
